"","year","month","Precipitation","MinTemperature","MaxTemperature"
"1",2000,1,20.793391,214.8417163,344.8673115
"2",2000,2,6.4760959,210.255423,345.2218633
"3",2000,3,67.442377,234.7644207,359.104992
"4",2000,4,120.5864871,235.4343443,350.5876703
"5",2000,5,132.4023968,233.4335234,335.0776864
"6",2000,6,182.5928168,220.0748351,309.06795
"7",2000,7,133.1521164,216.7421337,292.4929257
"8",2000,8,144.482872,209.6866819,288.2587602
"9",2000,9,168.6909712,214.4186371,301.8459142
"10",2000,10,101.1775633,217.3719524,315.521068
"11",2000,11,25.9665008,209.1939695,343.2255576
"12",2000,12,4.763368,201.4060062,337.6707168
"13",2001,1,14.1145205,196.6366868,343.4997626
"14",2001,2,9.1134927,215.0925336,353.4728426
"15",2001,3,31.8962027,232.7547776,365.0909108
"16",2001,4,146.7914947,234.3879034,345.5941266
"17",2001,5,132.2026988,236.9657452,340.2466215
"18",2001,6,170.5929253,223.8753538,306.4075158
"19",2001,7,113.6616505,217.5605452,294.131582
"20",2001,8,133.6622021,212.5568726,285.7484028
"21",2001,9,195.166854,216.4109145,296.2416248
"22",2001,10,71.1411101,218.3835839,323.9333739
"23",2001,11,34.245623,218.0413033,339.4910225
"24",2001,12,7.4731969,210.9518258,343.7427131
"25",2002,1,8.4054087,204.0226665,333.4860888
"26",2002,2,12.6654843,215.4241229,352.6290079
"27",2002,3,66.3319669,240.5691107,361.7987044
"28",2002,4,132.6314398,240.14794,344.4477415
"29",2002,5,134.0820015,239.1772607,339.5662847
"30",2002,6,202.1651987,224.1391224,316.107777
"31",2002,7,202.3369392,221.8648683,301.7589967
"32",2002,8,147.8875769,217.7555925,288.5058893
"33",2002,9,124.9976147,219.0335046,299.8349218
"34",2002,10,175.5166129,215.6544297,313.287578
"35",2002,11,34.2387332,212.9079395,338.087007
"36",2002,12,3.6882867,204.0579489,339.0641253
"37",2003,1,18.4545537,206.7416242,345.2828449
"38",2003,2,30.8796226,233.655663,361.8033733
"39",2003,3,63.5652461,237.2527192,360.7924421
"40",2003,4,131.2095325,236.5257116,340.6370049
"41",2003,5,144.636737,236.8741307,336.8380609
"42",2003,6,213.7205589,222.5532759,303.2336249
"43",2003,7,121.1005659,216.0269633,294.4004849
"44",2003,8,159.3958997,215.150557,290.4963923
"45",2003,9,185.1444619,218.1155326,298.5031521
"46",2003,10,162.9660787,224.4665267,322.7534954
"47",2003,11,69.4791392,213.0521767,339.7829541
"48",2003,12,15.4361672,204.6414446,334.7420764
"49",2004,1,30.2819247,208.4595488,339.8665725
"50",2004,2,28.9086244,225.3673835,352.7998348
"51",2004,3,54.8534811,240.5242338,351.5303668
"52",2004,4,104.891742,238.2910557,339.3897804
"53",2004,5,121.2517899,234.036522,320.3030132
"54",2004,6,118.4360089,220.7769782,304.9783957
"55",2004,7,172.2347866,218.01966,289.7801913
"56",2004,8,145.7246915,216.1236259,288.9815308
"57",2004,9,204.6190541,218.3235989,302.9957752
"58",2004,10,153.5600276,217.4871369,323.5247868
"59",2004,11,50.742546,218.5104428,336.6798566
"60",2004,12,16.1373542,216.4743485,341.6499028
"61",2005,1,4.495054,201.3045731,334.4488283
"62",2005,2,29.1267422,244.3818613,360.7511168
"63",2005,3,96.990392,248.7396437,359.6793508
"64",2005,4,96.8879352,245.4356399,348.0899945
"65",2005,5,157.8893277,236.6134633,328.6681157
"66",2005,6,155.3849635,225.7349055,305.5940517
"67",2005,7,150.8242172,220.4688439,293.0580733
"68",2005,8,97.4957858,214.5415822,287.7059727
"69",2005,9,164.798152,221.8615082,303.9877834
"70",2005,10,154.7982552,220.0593398,322.3713007
"71",2005,11,48.8764311,216.4903639,342.2951359
"72",2005,12,19.5434852,212.9020373,343.4608129
"73",2006,1,6.9026462,210.931397,338.037305
"74",2006,2,26.9813091,229.6768502,356.7364206
"75",2006,3,64.9511907,237.6814983,356.4220335
"76",2006,4,69.9606346,243.6245783,353.7635313
"77",2006,5,182.6483656,232.3386418,325.1685913
"78",2006,6,156.7429003,227.43027,319.3055015
"79",2006,7,119.8405301,224.722409,302.4330652
"80",2006,8,119.9610276,217.0824368,290.3974406
"81",2006,9,208.5238363,219.1756982,298.2232802
"82",2006,10,180.5873411,221.9645223,319.1139254
"83",2006,11,29.305604,208.53671,331.0736059
"84",2006,12,4.2102934,202.6876748,334.2063821
"85",2007,1,0,191.7811028,334.0651604
"86",2007,2,18.4926146,218.3174858,367.3263695
"87",2007,3,53.5178358,239.9276999,362.6431917
"88",2007,4,163.0620511,238.8040417,343.5569798
"89",2007,5,133.4043321,237.6766872,331.5858412
"90",2007,6,150.5134978,227.3218223,312.9634777
"91",2007,7,177.8844137,222.9933916,298.2080579
"92",2007,8,199.4791911,216.0415891,286.0478491
"93",2007,9,223.698932,219.7915186,302.1058682
"94",2007,10,153.8616896,222.2797865,320.6536384
"95",2007,11,71.6177407,214.5276877,336.9750896
"96",2007,12,21.5817585,206.2277686,337.8877613
"97",2008,1,3.3896598,184.9344536,321.0587461
"98",2008,2,14.4991484,213.368782,354.3193776
"99",2008,3,99.937882,234.181284,358.5887581
"100",2008,4,106.4373817,238.8730665,349.3113901
"101",2008,5,157.029405,235.2326417,331.4252483
"102",2008,6,205.901106,223.5089443,309.0682138
"103",2008,7,201.970401,218.3138364,292.6862405
"104",2008,8,213.2303989,214.411836,287.3654475
"105",2008,9,176.4966939,219.2536112,298.8838811
"106",2008,10,125.2885387,222.0875455,317.00093
"107",2008,11,57.8848357,209.4538392,338.3400752
"108",2008,12,33.3143662,210.1789732,341.6912181
"109",2009,1,4.4826048,201.2887012,339.5812476
"110",2009,2,32.4460734,236.6328179,360.0005691
"111",2009,3,82.812294,243.5852963,357.1391097
"112",2009,4,121.3752057,235.5508769,342.1730005
"113",2009,5,132.7110858,235.3115713,334.138288
"114",2009,6,212.8348562,226.3641926,312.5406285
"115",2009,7,212.839049,222.0387539,296.9650447
"116",2009,8,158.5532844,218.374467,288.3407371
"117",2009,9,149.8155994,220.459506,301.0892378
"118",2009,10,130.5369879,222.7015225,314.1749944
"119",2009,11,35.3807129,210.7877887,332.0670686
"120",2009,12,23.7177765,208.4379246,345.8312709
"121",2010,1,13.4463185,206.5338236,354.8296874
"122",2010,2,36.6579795,235.8244478,367.6637543
"123",2010,3,45.5480811,249.5632379,367.4979204
"124",2010,4,105.4029858,246.07096,353.3954795
"125",2010,5,108.5632844,243.4367374,331.7649741
"126",2010,6,187.3293473,231.5358516,313.9447497
"127",2010,7,134.9894516,222.9065604,296.6658321
"128",2010,8,189.4431219,219.3157382,291.3917507
"129",2010,9,247.2266599,220.1311934,297.3426563
"130",2010,10,201.3215266,222.0704731,311.8278356
"131",2010,11,69.6227836,217.9633695,337.0062756
"132",2010,12,21.2992805,200.0261326,342.0425931
"133",2011,1,9.7809386,200.3503918,341.286447
"134",2011,2,43.223228,225.3987657,354.282427
"135",2011,3,45.3120918,246.5343457,360.1018913
"136",2011,4,74.7296626,239.9034237,351.7501318
"137",2011,5,113.0966969,236.5438079,334.9832489
"138",2011,6,163.8861555,230.1254703,312.4867905
"139",2011,7,190.8989884,220.9444769,298.5924025
"140",2011,8,134.3493048,217.7044151,289.0494299
"141",2011,9,186.0744464,220.9175673,300.8425474
"142",2011,10,203.9430735,224.1426901,314.9866794
"143",2011,11,21.4862101,212.3586008,339.9046328
"144",2011,12,5.0656825,198.4347731,332.6836304
"145",2012,1,18.641622,197.4799161,343.827116
"146",2012,2,42.8500935,226.9046872,348.6083807
"147",2012,3,30.2990188,241.2108238,356.6116343
"148",2012,4,118.2363713,237.8417461,341.8896417
"149",2012,5,152.3710049,232.9353074,321.8453901
"150",2012,6,186.0371742,222.5031329,308.336709
"151",2012,7,152.8366925,219.057397,291.2701465
"152",2012,8,138.1355193,215.0546725,286.8855169
"153",2012,9,185.3440664,216.5283239,299.2834131
"154",2012,10,121.8681256,224.8593149,313.2275032
"155",2012,11,61.1568305,220.526989,337.7307968
"156",2012,12,70.3858561,206.1133732,338.5623764
"157",2013,1,12.9745217,200.450774,345.2072539
"158",2013,2,4.845522,226.8393363,369.2814939
"159",2013,3,76.889669,245.2674187,360.3106268
"160",2013,4,129.8048799,236.5619347,342.5923837
"161",2013,5,155.3930213,231.655125,330.4410027
"162",2013,6,125.9326889,224.5688021,312.314951
"163",2013,7,118.4883066,218.4062802,294.9271651
"164",2013,8,106.9036298,215.1569903,284.4188054
"165",2013,9,162.1558848,221.6320135,300.9802498
"166",2013,10,131.7101706,218.7922179,318.2102329
"167",2013,11,91.1359279,218.7174687,339.0273369
"168",2013,12,21.687771,204.5899691,334.3928109
"169",2014,1,27.6571981,215.9255269,345.155527
"170",2014,2,32.4489187,227.132035,353.4755652
"171",2014,3,91.0568626,236.5178654,355.82707
"172",2014,4,109.8106525,238.9392329,344.924134
"173",2014,5,124.5531273,239.5343986,327.1670789
"174",2014,6,185.8713102,229.2137789,314.6076475
"175",2014,7,135.9368679,226.5898461,299.3631798
"176",2014,8,133.5483876,218.254973,289.7493282
"177",2014,9,218.2756305,221.2323967,296.1308512
"178",2014,10,118.1070144,224.4428156,318.0038328
"179",2014,11,80.8788538,223.1586275,333.7981743
"180",2014,12,7.6786315,204.591291,340.4971128
"181",2015,1,3.9495564,196.8112407,337.3316041
"182",2015,2,66.0831892,230.329974,361.3740009
"183",2015,3,88.5151743,239.5575296,358.1474955
"184",2015,4,53.6472467,236.488929,358.5876357
"185",2015,5,101.9240893,241.1669699,344.5666623
"186",2015,6,136.29908,230.9270582,317.4934269
"187",2015,7,100.8340201,222.6122052,302.5700707
"188",2015,8,172.4167606,221.9335834,290.0672381
"189",2015,9,117.9625019,223.1885938,304.7219106
"190",2015,10,163.4782096,230.5070232,314.653556
"191",2015,11,49.9773756,216.6713197,341.2567398
"192",2015,12,2.1897742,202.0575231,329.9452815
"193",2016,1,0.2897241,209.2052775,344.8067589
"194",2016,2,3.0785403,232.8692537,363.8664581
"195",2016,3,33.0131714,247.5508317,364.6577069
"196",2016,4,32.1623565,249.4949949,357.0288157
"197",2016,5,74.7790242,243.3505948,339.4667889
"198",2016,6,112.561508,230.0381177,315.9240036
"199",2016,7,49.9959159,228.0662589,303.4662176
"200",2016,8,102.7328214,221.8719198,295.8004315
"201",2016,9,166.6424515,220.8883302,303.9921845
"202",2016,10,66.6411149,226.102363,325.8201976
"203",2016,11,10.2464653,225.8167113,349.8782822
"204",2016,12,3.9714726,219.4370452,349.5899425
"205",2017,1,0.4187309,214.1602302,349.7543406
"206",2017,2,6.9843735,234.7077215,365.6987419
"207",2017,3,19.8863005,251.3331386,368.4420638
"208",2017,4,55.6904519,247.6527877,355.1939941
"209",2017,5,149.8154077,238.5912143,334.6990197
"210",2017,6,125.9461023,230.0189742,315.8978257
"211",2017,7,74.0996129,224.916099,300.3158747
"212",2017,8,64.9624867,220.8266136,294.7622465
"213",2017,9,118.6726175,223.9830523,307.0851626
"214",2017,10,41.9522524,229.1199352,328.8388687
"215",2017,11,16.4264132,221.6321725,345.6853209
"216",2017,12,4.5780777,214.168711,344.3185794
"217",2018,1,4.5465411,201.5008366,343.7389318
"218",2018,2,44.3852728,238.1070366,359.8672286
"219",2018,3,88.8384991,239.6174441,353.431768
"220",2018,4,86.4841828,242.3738548,349.334925
"221",2018,5,135.4233266,240.4635607,333.9649842
"222",2018,6,177.4303841,229.8576896,312.1924279
"223",2018,7,163.5969412,224.5305259,296.4165446
"224",2018,8,195.1394947,220.6229036,290.3449202
"225",2018,9,220.3775417,223.9247449,300.7982371
"226",2018,10,170.137894,227.5041712,315.779561
"227",2018,11,34.5193804,220.7251146,341.6714231
"228",2018,12,15.6793441,204.2113102,338.0440196
"229",2019,1,4.9163921,218.5682027,354.1642111
"230",2019,2,16.14041,234.9221709,365.9143302
"231",2019,3,54.4102808,250.2158491,367.320115
"232",2019,4,89.3083259,251.4351255,358.9682652
"233",2019,5,130.4482471,243.0643063,339.1737295
"234",2019,6,157.5357396,232.3321486,318.2112233
"235",2019,7,162.1092027,226.4766081,301.8722327
"236",2019,8,110.1879239,224.2036983,298.1346736
"237",2019,9,182.1162338,225.9967061,309.1009469
"238",2019,10,240.9493853,219.7962704,319.5155318
"239",2019,11,29.1952488,225.4323982,349.4863844
"240",2019,12,6.6271907,216.7118633,346.8676251
"241",2020,1,2.4722628,209.4359096,345.5675614
"242",2020,2,4.3890406,232.0488206,363.3980144
"243",2020,3,77.28518,248.8481052,366.2670595
"244",2020,4,75.2931498,246.1944543,352.8317988
"245",2020,5,115.7387618,243.6835343,339.314463
"246",2020,6,138.4267881,229.8825259,315.6688646
"247",2020,7,178.1710376,224.6877963,299.759887
"248",2020,8,97.4762867,222.4078973,295.7039252
"249",2020,9,211.4769071,222.2984012,304.6580257
"250",2020,10,163.3390916,223.0232335,322.2191938
"251",2020,11,26.3227253,222.6970344,345.8508887
"252",2020,12,13.726279,218.8750574,349.2803478
"253",2021,1,5.1696039,215.8638507,351.9925945
"254",2021,2,10.1524518,230.4511591,361.8028249
"255",2021,3,53.3477693,243.6392637,361.0578947
"256",2021,4,45.260095,250.8074428,357.4458941
"257",2021,5,69.4395148,246.6546905,342.2864808
"258",2021,6,190.1990095,232.1714466,317.9569403
"259",2021,7,138.7417835,227.7296737,302.8017245
"260",2021,8,196.6507848,222.6644771,295.9601003
"261",2021,9,199.0818604,225.9581302,308.3175888
"262",2021,10,112.3194763,229.2362121,328.4314499
"263",2021,11,35.2457294,223.8361088,346.9871872
"264",2021,12,4.1463002,215.8817506,346.2913979
