"Category","Annual Mean","5-yr smooth"
"1901",27.04,27.15
"1902",27.1,27.12
"1903",27.21,27.1
"1904",27.22,27.09
"1905",26.94,27.09
"1906",27.34,27.1
"1907",27.1,27.14
"1908",27.16,27.18
"1909",27.04,27.22
"1910",27.24,27.25
"1911",26.97,27.26
"1912",27.26,27.23
"1913",27.4,27.18
"1914",27.57,27.11
"1915",26.98,27.04
"1916",26.82,27
"1917",26.89,27
"1918",26.84,27.04
"1919",27.21,27.1
"1920",27.27,27.16
"1921",27.21,27.19
"1922",27.06,27.16
"1923",26.89,27.06
"1924",27.16,26.93
"1925",26.7,26.79
"1926",27.13,26.67
"1927",26.36,26.6
"1928",26.44,26.62
"1929",26.33,26.7
"1930",26.97,26.84
"1931",27.46,27.02
"1932",27.38,27.21
"1933",27.35,27.41
"1934",27.53,27.59
"1935",27.58,27.74
"1936",27.12,27.84
"1937",28.25,27.9
"1938",28.42,27.88
"1939",27.82,27.81
"1940",27.31,27.69
"1941",27.78,27.56
"1942",27.5,27.44
"1943",27.11,27.35
"1944",27.54,27.3
"1945",27.24,27.28
"1946",27.07,27.28
"1947",27.43,27.28
"1948",26.96,27.27
"1949",27.51,27.24
"1950",26.9,27.19
"1951",27.45,27.13
"1952",27.28,27.08
"1953",27.17,27.05
"1954",26.88,27.03
"1955",26.8,27.04
"1956",26.84,27.05
"1957",27.03,27.07
"1958",27.24,27.07
"1959",27.22,27.07
"1960",27.08,27.05
"1961",26.98,27.02
"1962",26.96,27.01
"1963",27.27,27.01
"1964",26.87,27.04
"1965",26.99,27.1
"1966",27.32,27.17
"1967",26.96,27.23
"1968",27.21,27.25
"1969",27.51,27.23
"1970",27.37,27.16
"1971",26.59,27.05
"1972",26.88,26.93
"1973",27.35,26.82
"1974",26.66,26.75
"1975",26.53,26.73
"1976",26.48,26.76
"1977",27.15,26.83
"1978",26.87,26.93
"1979",27.17,27.06
"1980",27.06,27.2
"1981",27.48,27.34
"1982",27.26,27.47
"1983",27.76,27.57
"1984",27.64,27.62
"1985",27.48,27.61
"1986",27.35,27.54
"1987",27.79,27.44
"1988",27.3,27.33
"1989",26.99,27.23
"1990",27.38,27.17
"1991",27.21,27.16
"1992",27.07,27.19
"1993",27.24,27.24
"1994",27.2,27.3
"1995",27.44,27.37
"1996",27.39,27.43
"1997",27.4,27.48
"1998",27.96,27.52
"1999",27.34,27.55
"2000",27.5,27.59
"2001",27.58,27.62
"2002",27.67,27.65
"2003",27.71,27.68
"2004",27.6,27.7
"2005",27.88,27.72
"2006",27.74,27.73
"2007",27.74,27.73
"2008",27.44,27.72
"2009",27.76,27.72
"2010",28.07,27.73
"2011",27.77,27.74
"2012",27.53,27.77
"2013",27.7,27.81
"2014",27.83,27.85
"2015",27.95,27.9
"2016",28.21,27.95
"2017",28.04,27.99
"2018",27.95,28.03
"2019",27.81,28.07
"2020",28.1,28.11
"2021",28.3,28.15